 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_C-ions.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   5.134E+00  5.735E-02    2.17 um     1405 A      1800 A   
   1.00 MeV   5.409E+00  5.274E-02    2.32 um     1441 A      1853 A   
   1.10 MeV   5.667E+00  4.887E-02    2.47 um     1473 A      1900 A   
   1.20 MeV   5.910E+00  4.556E-02    2.61 um     1501 A      1942 A   
   1.30 MeV   6.139E+00  4.271E-02    2.75 um     1526 A      1980 A   
   1.40 MeV   6.354E+00  4.023E-02    2.88 um     1549 A      2015 A   
   1.50 MeV   6.555E+00  3.803E-02    3.00 um     1569 A      2047 A   
   1.60 MeV   6.742E+00  3.609E-02    3.13 um     1588 A      2076 A   
   1.70 MeV   6.916E+00  3.434E-02    3.25 um     1606 A      2104 A   
   1.80 MeV   7.078E+00  3.277E-02    3.37 um     1622 A      2130 A   
   2.00 MeV   7.367E+00  3.005E-02    3.59 um     1668 A      2176 A   
   2.25 MeV   7.668E+00  2.727E-02    3.87 um     1727 A      2228 A   
   2.50 MeV   7.910E+00  2.499E-02    4.13 um     1780 A      2274 A   
   2.75 MeV   8.104E+00  2.309E-02    4.39 um     1828 A      2315 A   
   3.00 MeV   8.258E+00  2.147E-02    4.64 um     1873 A      2353 A   
   3.25 MeV   8.379E+00  2.008E-02    4.89 um     1914 A      2388 A   
   3.50 MeV   8.472E+00  1.887E-02    5.13 um     1954 A      2421 A   
   3.75 MeV   8.543E+00  1.781E-02    5.38 um     1992 A      2451 A   
   4.00 MeV   8.596E+00  1.687E-02    5.62 um     2028 A      2481 A   
   4.50 MeV   8.657E+00  1.527E-02    6.10 um     2152 A      2536 A   
   5.00 MeV   8.674E+00  1.397E-02    6.57 um     2267 A      2586 A   
   5.50 MeV   8.656E+00  1.288E-02    7.05 um     2376 A      2634 A   
   6.00 MeV   8.612E+00  1.196E-02    7.53 um     2481 A      2680 A   
   6.50 MeV   8.546E+00  1.117E-02    8.01 um     2582 A      2724 A   
   7.00 MeV   8.464E+00  1.049E-02    8.50 um     2681 A      2767 A   
   8.00 MeV   8.265E+00  9.351E-03    9.49 um     3040 A      2849 A   
   9.00 MeV   8.038E+00  8.451E-03   10.50 um     3376 A      2929 A   
  10.00 MeV   7.798E+00  7.717E-03   11.55 um     3699 A      3009 A   
  11.00 MeV   7.556E+00  7.107E-03   12.62 um     4014 A      3088 A   
  12.00 MeV   7.318E+00  6.592E-03   13.74 um     4325 A      3168 A   
  13.00 MeV   7.087E+00  6.150E-03   14.89 um     4633 A      3249 A   
  14.00 MeV   6.865E+00  5.766E-03   16.07 um     4940 A      3331 A   
  15.00 MeV   6.653E+00  5.430E-03   17.30 um     5247 A      3415 A   
  16.00 MeV   6.452E+00  5.133E-03   18.56 um     5555 A      3501 A   
  17.00 MeV   6.260E+00  4.869E-03   19.86 um     5865 A      3589 A   
  18.00 MeV   6.078E+00  4.632E-03   21.21 um     6177 A      3679 A   
  20.00 MeV   5.743E+00  4.224E-03   24.01 um     7363 A      3867 A   
  22.50 MeV   5.370E+00  3.810E-03   27.74 um     9082 A      4117 A   
  25.00 MeV   5.082E+00  3.474E-03   31.70 um     1.07 um     4383 A   
  27.50 MeV   4.850E+00  3.194E-03   35.87 um     1.22 um     4664 A   
  30.00 MeV   4.598E+00  2.959E-03   40.25 um     1.37 um     4962 A   
  32.50 MeV   4.363E+00  2.757E-03   44.88 um     1.53 um     5276 A   
  35.00 MeV   4.153E+00  2.582E-03   49.74 um     1.68 um     5607 A   
  37.50 MeV   3.965E+00  2.430E-03   54.84 um     1.83 um     5956 A   
  40.00 MeV   3.794E+00  2.295E-03   60.18 um     1.98 um     6322 A   
  45.00 MeV   3.496E+00  2.067E-03   71.55 um     2.56 um     7106 A   
  50.00 MeV   3.244E+00  1.883E-03   83.85 um     3.10 um     7956 A   
  55.00 MeV   3.029E+00  1.730E-03   97.06 um     3.62 um     8873 A   
  60.00 MeV   2.842E+00  1.601E-03  111.18 um     4.14 um     9854 A   
  65.00 MeV   2.678E+00  1.491E-03  126.19 um     4.66 um     1.09 um  
  70.00 MeV   2.532E+00  1.395E-03  142.10 um     5.18 um     1.20 um  
  80.00 MeV   2.285E+00  1.238E-03  176.53 um     7.12 um     1.44 um  
  90.00 MeV   2.084E+00  1.115E-03  214.50 um     8.93 um     1.70 um  
 100.00 MeV   1.915E+00  1.014E-03  255.96 um    10.70 um     1.99 um  
 110.00 MeV   1.773E+00  9.311E-04  300.92 um    12.46 um     2.30 um  
 120.00 MeV   1.650E+00  8.611E-04  349.35 um    14.23 um     2.64 um  
 130.00 MeV   1.544E+00  8.013E-04  401.24 um    16.03 um     2.99 um  
 140.00 MeV   1.451E+00  7.497E-04  456.58 um    17.86 um     3.37 um  
 150.00 MeV   1.369E+00  7.045E-04  515.36 um    19.72 um     3.77 um  
 160.00 MeV   1.296E+00  6.647E-04  577.56 um    21.61 um     4.20 um  
 170.00 MeV   1.230E+00  6.293E-04  643.16 um    23.54 um     4.65 um  
 180.00 MeV   1.172E+00  5.977E-04  712.15 um    25.51 um     5.12 um  
 200.00 MeV   1.071E+00  5.435E-04  860.09 um    33.04 um     6.13 um  
 225.00 MeV   9.683E-01  4.886E-04    1.06 mm    43.87 um     7.51 um  
 250.00 MeV   8.858E-01  4.441E-04    1.29 mm    54.14 um     9.03 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2070E+01                 eV / Angstrom 
  1.2070E+02                keV / micron   
  1.2070E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1045E+01                 eV / (1E15 atoms/cm2)
  2.2421E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
