 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_He-ions.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   2.188E+00  3.578E-03    3.46 um     1634 A      2166 A   
 800.00 keV   2.156E+00  3.197E-03    3.84 um     1739 A      2233 A   
 900.00 keV   2.112E+00  2.893E-03    4.23 um     1840 A      2298 A   
   1.00 MeV   2.061E+00  2.645E-03    4.62 um     1940 A      2360 A   
   1.10 MeV   2.008E+00  2.439E-03    5.03 um     2039 A      2422 A   
   1.20 MeV   1.955E+00  2.264E-03    5.45 um     2138 A      2483 A   
   1.30 MeV   1.902E+00  2.114E-03    5.88 um     2237 A      2545 A   
   1.40 MeV   1.851E+00  1.984E-03    6.32 um     2338 A      2607 A   
   1.50 MeV   1.803E+00  1.869E-03    6.77 um     2439 A      2669 A   
   1.60 MeV   1.756E+00  1.768E-03    7.23 um     2541 A      2732 A   
   1.70 MeV   1.711E+00  1.678E-03    7.71 um     2644 A      2797 A   
   1.80 MeV   1.668E+00  1.598E-03    8.20 um     2748 A      2862 A   
   2.00 MeV   1.588E+00  1.458E-03    9.22 um     3130 A      2997 A   
   2.25 MeV   1.497E+00  1.317E-03   10.56 um     3693 A      3173 A   
   2.50 MeV   1.415E+00  1.202E-03   11.98 um     4237 A      3359 A   
   2.75 MeV   1.341E+00  1.106E-03   13.48 um     4772 A      3555 A   
   3.00 MeV   1.273E+00  1.025E-03   15.07 um     5304 A      3762 A   
   3.25 MeV   1.212E+00  9.559E-04   16.73 um     5836 A      3979 A   
   3.50 MeV   1.157E+00  8.959E-04   18.48 um     6372 A      4208 A   
   3.75 MeV   1.106E+00  8.434E-04   20.31 um     6912 A      4449 A   
   4.00 MeV   1.060E+00  7.970E-04   22.22 um     7458 A      4700 A   
   4.50 MeV   9.778E-01  7.187E-04   26.28 um     9483 A      5239 A   
   5.00 MeV   9.082E-01  6.550E-04   30.68 um     1.14 um     5823 A   
   5.50 MeV   8.483E-01  6.022E-04   35.39 um     1.33 um     6452 A   
   6.00 MeV   7.961E-01  5.577E-04   40.43 um     1.51 um     7126 A   
   6.50 MeV   7.504E-01  5.196E-04   45.78 um     1.70 um     7844 A   
   7.00 MeV   7.098E-01  4.866E-04   51.46 um     1.89 um     8605 A   
   8.00 MeV   6.413E-01  4.323E-04   63.73 um     2.58 um     1.03 um  
   9.00 MeV   5.958E-01  3.894E-04   77.12 um     3.21 um     1.21 um  
  10.00 MeV   5.508E-01  3.545E-04   91.58 um     3.82 um     1.40 um  
  11.00 MeV   5.113E-01  3.257E-04  107.18 um     4.43 um     1.61 um  
  12.00 MeV   4.776E-01  3.014E-04  123.94 um     5.04 um     1.83 um  
  13.00 MeV   4.485E-01  2.806E-04  141.83 um     5.66 um     2.07 um  
  14.00 MeV   4.231E-01  2.626E-04  160.84 um     6.29 um     2.32 um  
  15.00 MeV   4.007E-01  2.469E-04  180.95 um     6.92 um     2.58 um  
  16.00 MeV   3.807E-01  2.330E-04  202.15 um     7.57 um     2.86 um  
  17.00 MeV   3.629E-01  2.207E-04  224.42 um     8.22 um     3.15 um  
  18.00 MeV   3.468E-01  2.097E-04  247.76 um     8.88 um     3.46 um  
  20.00 MeV   3.188E-01  1.908E-04  297.57 um    11.38 um     4.11 um  
  22.50 MeV   2.902E-01  1.716E-04  365.64 um    14.97 um     4.99 um  
  25.00 MeV   2.667E-01  1.561E-04  440.07 um    18.36 um     5.96 um  
  27.50 MeV   2.470E-01  1.432E-04  520.74 um    21.68 um     6.99 um  
  30.00 MeV   2.302E-01  1.324E-04  607.57 um    24.99 um     8.11 um  
  32.50 MeV   2.158E-01  1.232E-04  700.45 um    28.31 um     9.29 um  
  35.00 MeV   2.032E-01  1.152E-04  799.32 um    31.66 um    10.55 um  
  37.50 MeV   1.921E-01  1.083E-04  904.10 um    35.04 um    11.88 um  
  40.00 MeV   1.823E-01  1.021E-04    1.01 mm    38.47 um    13.28 um  
  45.00 MeV   1.656E-01  9.179E-05    1.25 mm    51.33 um    16.29 um  
  50.00 MeV   1.519E-01  8.343E-05    1.51 mm    63.42 um    19.57 um  
  55.00 MeV   1.406E-01  7.652E-05    1.80 mm    75.22 um    23.11 um  
  60.00 MeV   1.309E-01  7.070E-05    2.10 mm    86.95 um    26.91 um  
  65.00 MeV   1.226E-01  6.574E-05    2.43 mm    98.71 um    30.97 um  
  70.00 MeV   1.154E-01  6.146E-05    2.78 mm   110.57 um    35.28 um  
  80.00 MeV   1.034E-01  5.442E-05    3.54 mm   154.53 um    44.64 um  
  90.00 MeV   9.389E-02  4.888E-05    4.38 mm   195.48 um    54.95 um  
 100.00 MeV   8.613E-02  4.440E-05    5.30 mm   235.46 um    66.20 um  
 110.00 MeV   7.968E-02  4.070E-05    6.30 mm   275.25 um    78.36 um  
 120.00 MeV   7.421E-02  3.759E-05    7.37 mm   315.25 um    91.41 um  
 130.00 MeV   6.953E-02  3.494E-05    8.53 mm   355.63 um   105.32 um  
 140.00 MeV   6.547E-02  3.265E-05    9.76 mm   396.51 um   120.08 um  
 150.00 MeV   6.191E-02  3.065E-05   11.06 mm   437.94 um   135.68 um  
 160.00 MeV   5.876E-02  2.889E-05   12.43 mm   479.96 um   152.09 um  
 170.00 MeV   5.595E-02  2.733E-05   13.87 mm   522.57 um   169.30 um  
 180.00 MeV   5.344E-02  2.594E-05   15.39 mm   565.78 um   187.30 um  
 200.00 MeV   4.912E-02  2.355E-05   18.62 mm   729.43 um   225.62 um  
 225.00 MeV   4.472E-02  2.113E-05   23.04 mm   962.93 um   277.70 um  
 250.00 MeV   4.115E-02  1.918E-05   27.87 mm     1.18 mm   334.26 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2070E+01                 eV / Angstrom 
  1.2070E+02                keV / micron   
  1.2070E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1045E+01                 eV / (1E15 atoms/cm2)
  9.6109E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
