 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_H-ions.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   2.865E-01  2.403E-04   14.22 um     6044 A      5119 A   
 900.00 keV   2.664E-01  2.168E-04   17.08 um     7404 A      5995 A   
   1.00 MeV   2.500E-01  1.978E-04   20.15 um     8712 A      6925 A   
   1.10 MeV   2.388E-01  1.820E-04   23.39 um     9979 A      7897 A   
   1.20 MeV   2.279E-01  1.686E-04   26.79 um     1.12 um     8906 A   
   1.30 MeV   2.168E-01  1.572E-04   30.35 um     1.24 um     9954 A   
   1.40 MeV   2.068E-01  1.473E-04   34.10 um     1.37 um     1.10 um  
   1.50 MeV   1.977E-01  1.386E-04   38.02 um     1.49 um     1.22 um  
   1.60 MeV   1.894E-01  1.309E-04   42.11 um     1.62 um     1.33 um  
   1.70 MeV   1.817E-01  1.241E-04   46.38 um     1.74 um     1.46 um  
   1.80 MeV   1.746E-01  1.180E-04   50.83 um     1.87 um     1.58 um  
   2.00 MeV   1.619E-01  1.075E-04   60.26 um     2.33 um     1.85 um  
   2.25 MeV   1.484E-01  9.687E-05   73.05 um     2.99 um     2.20 um  
   2.50 MeV   1.371E-01  8.823E-05   86.94 um     3.62 um     2.58 um  
   2.75 MeV   1.275E-01  8.107E-05  101.93 um     4.24 um     2.99 um  
   3.00 MeV   1.192E-01  7.503E-05  118.01 um     4.86 um     3.42 um  
   3.25 MeV   1.121E-01  6.987E-05  135.15 um     5.48 um     3.88 um  
   3.50 MeV   1.058E-01  6.541E-05  153.34 um     6.11 um     4.37 um  
   3.75 MeV   1.003E-01  6.150E-05  172.58 um     6.74 um     4.88 um  
   4.00 MeV   9.536E-02  5.806E-05  192.85 um     7.39 um     5.42 um  
   4.50 MeV   8.693E-02  5.226E-05  236.39 um     9.73 um     6.56 um  
   5.00 MeV   7.999E-02  4.755E-05  283.93 um    11.94 um     7.81 um  
   5.50 MeV   7.417E-02  4.366E-05  335.41 um    14.11 um     9.15 um  
   6.00 MeV   6.920E-02  4.038E-05  390.75 um    16.27 um    10.59 um  
   6.50 MeV   6.492E-02  3.758E-05  449.90 um    18.44 um    12.12 um  
   7.00 MeV   6.117E-02  3.516E-05  512.81 um    20.63 um    13.74 um  
   8.00 MeV   5.495E-02  3.118E-05  649.60 um    28.56 um    17.24 um  
   9.00 MeV   4.996E-02  2.804E-05  800.96 um    35.99 um    21.10 um  
  10.00 MeV   4.588E-02  2.549E-05  966.61 um    43.27 um    25.30 um  
  11.00 MeV   4.246E-02  2.339E-05    1.15 mm    50.53 um    29.84 um  
  12.00 MeV   3.956E-02  2.162E-05    1.34 mm    57.85 um    34.70 um  
  13.00 MeV   3.706E-02  2.011E-05    1.55 mm    65.26 um    39.89 um  
  14.00 MeV   3.489E-02  1.880E-05    1.77 mm    72.78 um    45.40 um  
  15.00 MeV   3.298E-02  1.766E-05    2.00 mm    80.43 um    51.21 um  
  16.00 MeV   3.128E-02  1.666E-05    2.25 mm    88.21 um    57.34 um  
  17.00 MeV   2.977E-02  1.577E-05    2.51 mm    96.12 um    63.77 um  
  18.00 MeV   2.841E-02  1.497E-05    2.78 mm   104.16 um    70.50 um  
  20.00 MeV   2.607E-02  1.360E-05    3.36 mm   133.96 um    84.85 um  
  22.50 MeV   2.367E-02  1.222E-05    4.16 mm   176.57 um   104.42 um  
  25.00 MeV   2.172E-02  1.110E-05    5.04 mm   217.05 um   125.74 um  
  27.50 MeV   2.010E-02  1.018E-05    5.99 mm   256.80 um   148.79 um  
