 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_C-ions.txt

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.00 MeV   5.753E+00  5.346E-02    2.06 um     1227 A      1566 A   
   1.10 MeV   6.008E+00  4.953E-02    2.19 um     1256 A      1607 A   
   1.20 MeV   6.246E+00  4.618E-02    2.32 um     1281 A      1644 A   
   1.30 MeV   6.468E+00  4.329E-02    2.45 um     1304 A      1678 A   
   1.40 MeV   6.674E+00  4.077E-02    2.57 um     1325 A      1708 A   
   1.50 MeV   6.866E+00  3.855E-02    2.68 um     1345 A      1736 A   
   1.60 MeV   7.045E+00  3.657E-02    2.79 um     1362 A      1763 A   
   1.70 MeV   7.210E+00  3.480E-02    2.90 um     1379 A      1787 A   
   1.80 MeV   7.362E+00  3.321E-02    3.01 um     1394 A      1810 A   
   2.00 MeV   7.633E+00  3.046E-02    3.22 um     1438 A      1852 A   
   2.25 MeV   7.913E+00  2.764E-02    3.48 um     1496 A      1898 A   
   2.50 MeV   8.139E+00  2.533E-02    3.72 um     1547 A      1940 A   
   2.75 MeV   8.318E+00  2.340E-02    3.96 um     1595 A      1978 A   
   3.00 MeV   8.461E+00  2.176E-02    4.20 um     1638 A      2013 A   
   3.25 MeV   8.572E+00  2.035E-02    4.43 um     1679 A      2045 A   
   3.50 MeV   8.659E+00  1.912E-02    4.66 um     1718 A      2075 A   
   3.75 MeV   8.725E+00  1.805E-02    4.89 um     1756 A      2104 A   
   4.00 MeV   8.773E+00  1.709E-02    5.11 um     1791 A      2131 A   
   4.50 MeV   8.829E+00  1.547E-02    5.56 um     1913 A      2183 A   
   5.00 MeV   8.842E+00  1.415E-02    6.01 um     2026 A      2230 A   
   5.50 MeV   8.822E+00  1.305E-02    6.46 um     2133 A      2276 A   
   6.00 MeV   8.776E+00  1.212E-02    6.91 um     2236 A      2319 A   
   6.50 MeV   8.709E+00  1.132E-02    7.37 um     2335 A      2360 A   
   7.00 MeV   8.625E+00  1.062E-02    7.82 um     2431 A      2401 A   
   8.00 MeV   8.424E+00  9.474E-03    8.75 um     2779 A      2479 A   
   9.00 MeV   8.194E+00  8.561E-03    9.71 um     3103 A      2555 A   
  10.00 MeV   7.951E+00  7.818E-03   10.69 um     3412 A      2631 A   
  11.00 MeV   7.707E+00  7.200E-03   11.70 um     3713 A      2706 A   
  12.00 MeV   7.465E+00  6.677E-03   12.75 um     4008 A      2782 A   
  13.00 MeV   7.231E+00  6.229E-03   13.83 um     4300 A      2859 A   
  14.00 MeV   7.006E+00  5.841E-03   14.94 um     4592 A      2937 A   
  15.00 MeV   6.791E+00  5.501E-03   16.10 um     4883 A      3017 A   
  16.00 MeV   6.586E+00  5.200E-03   17.28 um     5174 A      3099 A   
  17.00 MeV   6.391E+00  4.932E-03   18.50 um     5467 A      3182 A   
  18.00 MeV   6.206E+00  4.692E-03   19.77 um     5761 A      3268 A   
  20.00 MeV   5.863E+00  4.279E-03   22.40 um     6880 A      3446 A   
  22.50 MeV   5.482E+00  3.859E-03   25.90 um     8500 A      3683 A   
  25.00 MeV   5.185E+00  3.518E-03   29.62 um     1.00 um     3935 A   
  27.50 MeV   4.942E+00  3.236E-03   33.54 um     1.15 um     4201 A   
  30.00 MeV   4.681E+00  2.997E-03   37.67 um     1.29 um     4481 A   
  32.50 MeV   4.440E+00  2.793E-03   42.02 um     1.43 um     4777 A   
  35.00 MeV   4.225E+00  2.616E-03   46.60 um     1.57 um     5090 A   
  37.50 MeV   4.030E+00  2.461E-03   51.41 um     1.72 um     5419 A   
  40.00 MeV   3.854E+00  2.324E-03   56.45 um     1.86 um     5764 A   
  45.00 MeV   3.547E+00  2.094E-03   67.19 um     2.41 um     6502 A   
  50.00 MeV   3.287E+00  1.907E-03   78.81 um     2.92 um     7303 A   
  55.00 MeV   3.064E+00  1.752E-03   91.33 um     3.42 um     8167 A   
  60.00 MeV   2.870E+00  1.621E-03  104.71 um     3.91 um     9093 A   
  65.00 MeV   2.700E+00  1.510E-03  118.98 um     4.41 um     1.01 um  
  70.00 MeV   2.550E+00  1.413E-03  134.11 um     4.91 um     1.11 um  
  80.00 MeV   2.296E+00  1.254E-03  166.92 um     6.77 um     1.34 um  
  90.00 MeV   2.090E+00  1.129E-03  203.18 um     8.50 um     1.59 um  
 100.00 MeV   1.918E+00  1.027E-03  242.85 um    10.20 um     1.86 um  
 110.00 MeV   1.774E+00  9.429E-04  285.90 um    11.89 um     2.16 um  
 120.00 MeV   1.650E+00  8.721E-04  332.31 um    13.60 um     2.48 um  
 130.00 MeV   1.544E+00  8.115E-04  382.06 um    15.33 um     2.82 um  
 140.00 MeV   1.451E+00  7.592E-04  435.11 um    17.08 um     3.18 um  
 150.00 MeV   1.370E+00  7.134E-04  491.43 um    18.86 um     3.57 um  
 160.00 MeV   1.297E+00  6.731E-04  551.00 um    20.68 um     3.97 um  
 170.00 MeV   1.233E+00  6.373E-04  613.78 um    22.53 um     4.40 um  
 180.00 MeV   1.175E+00  6.053E-04  679.74 um    24.40 um     4.85 um  
 200.00 MeV   1.076E+00  5.503E-04  820.96 um    31.58 um     5.81 um  
 225.00 MeV   9.760E-01  4.947E-04    1.01 mm    41.86 um     7.12 um  
