 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_N-ions.txt

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   5.553E+00  8.609E-02    2.00 um     1374 A      1733 A   
   1.00 MeV   5.864E+00  7.926E-02    2.14 um     1409 A      1788 A   
   1.10 MeV   6.155E+00  7.352E-02    2.27 um     1440 A      1837 A   
   1.20 MeV   6.429E+00  6.861E-02    2.40 um     1467 A      1881 A   
   1.30 MeV   6.687E+00  6.438E-02    2.53 um     1491 A      1920 A   
   1.40 MeV   6.930E+00  6.067E-02    2.65 um     1513 A      1956 A   
   1.50 MeV   7.160E+00  5.740E-02    2.76 um     1533 A      1989 A   
   1.60 MeV   7.376E+00  5.450E-02    2.88 um     1552 A      2019 A   
   1.70 MeV   7.581E+00  5.189E-02    2.99 um     1569 A      2047 A   
   1.80 MeV   7.773E+00  4.955E-02    3.09 um     1584 A      2073 A   
   2.00 MeV   8.125E+00  4.548E-02    3.30 um     1626 A      2120 A   
   2.25 MeV   8.507E+00  4.131E-02    3.55 um     1679 A      2172 A   
   2.50 MeV   8.833E+00  3.789E-02    3.78 um     1725 A      2218 A   
   2.75 MeV   9.110E+00  3.503E-02    4.01 um     1767 A      2259 A   
   3.00 MeV   9.344E+00  3.260E-02    4.24 um     1806 A      2297 A   
   3.25 MeV   9.542E+00  3.051E-02    4.45 um     1841 A      2331 A   
   3.50 MeV   9.709E+00  2.869E-02    4.67 um     1875 A      2363 A   
   3.75 MeV   9.850E+00  2.709E-02    4.88 um     1906 A      2392 A   
   4.00 MeV   9.969E+00  2.567E-02    5.09 um     1936 A      2420 A   
   4.50 MeV   1.015E+01  2.326E-02    5.50 um     2034 A      2472 A   
   5.00 MeV   1.028E+01  2.128E-02    5.90 um     2124 A      2519 A   
   5.50 MeV   1.037E+01  1.964E-02    6.30 um     2209 A      2562 A   
   6.00 MeV   1.042E+01  1.825E-02    6.70 um     2289 A      2603 A   
   6.50 MeV   1.044E+01  1.705E-02    7.09 um     2365 A      2641 A   
   7.00 MeV   1.043E+01  1.601E-02    7.49 um     2439 A      2678 A   
   8.00 MeV   1.037E+01  1.429E-02    8.29 um     2700 A      2748 A   
   9.00 MeV   1.024E+01  1.292E-02    9.09 um     2942 A      2814 A   
  10.00 MeV   1.007E+01  1.181E-02    9.90 um     3171 A      2877 A   
  11.00 MeV   9.880E+00  1.088E-02   10.73 um     3392 A      2939 A   
  12.00 MeV   9.672E+00  1.010E-02   11.58 um     3608 A      3000 A   
  13.00 MeV   9.456E+00  9.423E-03   12.44 um     3820 A      3060 A   
  14.00 MeV   9.239E+00  8.839E-03   13.33 um     4030 A      3121 A   
  15.00 MeV   9.022E+00  8.327E-03   14.24 um     4238 A      3181 A   
  16.00 MeV   8.809E+00  7.874E-03   15.16 um     4447 A      3242 A   
  17.00 MeV   8.601E+00  7.471E-03   16.11 um     4655 A      3303 A   
  18.00 MeV   8.399E+00  7.109E-03   17.09 um     4864 A      3365 A   
  20.00 MeV   8.014E+00  6.486E-03   19.11 um     5657 A      3493 A   
  22.50 MeV   7.572E+00  5.853E-03   21.76 um     6812 A      3658 A   
  25.00 MeV   7.171E+00  5.339E-03   24.57 um     7905 A      3832 A   
