 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_Si-ions.txt

 Ion = Silicon [14] , Mass = 27.977 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.00 MeV   6.875E+00  4.703E-01    1.43 um     1221 A      1400 A   
   1.10 MeV   7.294E+00  4.392E-01    1.54 um     1260 A      1462 A   
   1.20 MeV   7.694E+00  4.123E-01    1.64 um     1294 A      1518 A   
   1.30 MeV   8.077E+00  3.889E-01    1.73 um     1324 A      1569 A   
   1.40 MeV   8.444E+00  3.683E-01    1.82 um     1351 A      1615 A   
   1.50 MeV   8.797E+00  3.499E-01    1.91 um     1375 A      1658 A   
   1.60 MeV   9.138E+00  3.335E-01    1.99 um     1397 A      1697 A   
   1.70 MeV   9.466E+00  3.187E-01    2.07 um     1417 A      1733 A   
   1.80 MeV   9.785E+00  3.053E-01    2.15 um     1436 A      1767 A   
   2.00 MeV   1.039E+01  2.820E-01    2.31 um     1476 A      1828 A   
   2.25 MeV   1.111E+01  2.578E-01    2.48 um     1523 A      1894 A   
   2.50 MeV   1.179E+01  2.377E-01    2.65 um     1563 A      1952 A   
   2.75 MeV   1.244E+01  2.208E-01    2.81 um     1598 A      2002 A   
   3.00 MeV   1.305E+01  2.064E-01    2.97 um     1628 A      2047 A   
   3.25 MeV   1.364E+01  1.939E-01    3.11 um     1655 A      2087 A   
   3.50 MeV   1.420E+01  1.829E-01    3.25 um     1679 A      2124 A   
   3.75 MeV   1.474E+01  1.732E-01    3.39 um     1701 A      2157 A   
   4.00 MeV   1.526E+01  1.646E-01    3.52 um     1721 A      2187 A   
   4.50 MeV   1.622E+01  1.499E-01    3.77 um     1773 A      2241 A   
   5.00 MeV   1.710E+01  1.378E-01    4.00 um     1818 A      2288 A   
   5.50 MeV   1.790E+01  1.276E-01    4.23 um     1858 A      2329 A   
   6.00 MeV   1.862E+01  1.190E-01    4.44 um     1893 A      2365 A   
   6.50 MeV   1.928E+01  1.115E-01    4.65 um     1925 A      2398 A   
   7.00 MeV   1.988E+01  1.050E-01    4.85 um     1954 A      2428 A   
   8.00 MeV   2.093E+01  9.413E-02    5.24 um     2043 A      2480 A   
   9.00 MeV   2.179E+01  8.546E-02    5.61 um     2120 A      2526 A   
  10.00 MeV   2.251E+01  7.835E-02    5.96 um     2189 A      2566 A   
  11.00 MeV   2.310E+01  7.241E-02    6.31 um     2251 A      2602 A   
  12.00 MeV   2.358E+01  6.736E-02    6.65 um     2309 A      2635 A   
  13.00 MeV   2.397E+01  6.302E-02    6.98 um     2364 A      2665 A   
  14.00 MeV   2.427E+01  5.924E-02    7.31 um     2415 A      2693 A   
  15.00 MeV   2.450E+01  5.592E-02    7.64 um     2464 A      2719 A   
  16.00 MeV   2.466E+01  5.297E-02    7.96 um     2511 A      2744 A   
  17.00 MeV   2.477E+01  5.034E-02    8.28 um     2557 A      2768 A   
  18.00 MeV   2.483E+01  4.798E-02    8.60 um     2601 A      2791 A   
  20.00 MeV   2.482E+01  4.390E-02    9.24 um     2762 A      2834 A   
  22.50 MeV   2.464E+01  3.973E-02   10.04 um     2995 A      2885 A   
  25.00 MeV   2.434E+01  3.633E-02   10.85 um     3215 A      2933 A   
  27.50 MeV   2.396E+01  3.350E-02   11.67 um     3426 A      2979 A   
  30.00 MeV   2.354E+01  3.111E-02   12.50 um     3631 A      3024 A   
  32.50 MeV   2.308E+01  2.905E-02   13.35 um     3832 A      3068 A   
  35.00 MeV   2.262E+01  2.726E-02   14.22 um     4030 A      3111 A   
  37.50 MeV   2.216E+01  2.569E-02   15.11 um     4227 A      3155 A   
  40.00 MeV   2.170E+01  2.431E-02   16.01 um     4423 A      3198 A   
  45.00 MeV   2.082E+01  2.196E-02   17.88 um     5162 A      3285 A   
  50.00 MeV   1.998E+01  2.005E-02   19.82 um     5860 A      3374 A   
  55.00 MeV   1.920E+01  1.846E-02   21.85 um     6533 A      3465 A   
  60.00 MeV   1.871E+01  1.712E-02   23.94 um     7182 A      3558 A   
  65.00 MeV   1.817E+01  1.597E-02   26.09 um     7810 A      3653 A   
  70.00 MeV   1.756E+01  1.497E-02   28.31 um     8427 A      3751 A   
  80.00 MeV   1.645E+01  1.333E-02   32.98 um     1.07 um     3956 A   
  90.00 MeV   1.550E+01  1.202E-02   37.96 um     1.28 um     4174 A   
 100.00 MeV   1.468E+01  1.096E-02   43.22 um     1.49 um     4406 A   
 110.00 MeV   1.396E+01  1.009E-02   48.76 um     1.68 um     4652 A   
 120.00 MeV   1.332E+01  9.343E-03   54.59 um     1.87 um     4913 A   
 130.00 MeV   1.274E+01  8.708E-03   60.68 um     2.06 um     5186 A   
 140.00 MeV   1.223E+01  8.157E-03   67.04 um     2.25 um     5474 A   
 150.00 MeV   1.176E+01  7.676E-03   73.66 um     2.44 um     5774 A   
 160.00 MeV   1.133E+01  7.251E-03   80.54 um     2.63 um     6088 A   
 170.00 MeV   1.094E+01  6.872E-03   87.67 um     2.82 um     6414 A   
 180.00 MeV   1.057E+01  6.533E-03   95.06 um     3.01 um     6752 A   
 200.00 MeV   9.926E+00  5.951E-03  110.56 um     3.72 um     7464 A   
 225.00 MeV   9.231E+00  5.361E-03  131.30 um     4.74 um     8419 A   
 250.00 MeV   8.637E+00  4.881E-03  153.53 um     5.70 um     9442 A   
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2591E+01                 eV / Angstrom 
  1.2591E+02                keV / micron   
  1.2591E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.0563E+01                 eV / (1E15 atoms/cm2)
  9.0445E-02                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
