 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_H-ions.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 700.00 keV   3.040E-01  2.655E-04   12.39 um     4924 A      4710 A   
 800.00 keV   2.796E-01  2.364E-04   15.22 um     6485 A      5597 A   
 900.00 keV   2.601E-01  2.134E-04   18.29 um     7938 A      6547 A   
   1.00 MeV   2.443E-01  1.946E-04   21.56 um     9335 A      7556 A   
   1.10 MeV   2.342E-01  1.791E-04   25.02 um     1.07 um     8609 A   
   1.20 MeV   2.244E-01  1.659E-04   28.62 um     1.20 um     9697 A   
   1.30 MeV   2.138E-01  1.547E-04   32.40 um     1.33 um     1.08 um  
   1.40 MeV   2.043E-01  1.449E-04   36.35 um     1.46 um     1.20 um  
   1.50 MeV   1.956E-01  1.364E-04   40.48 um     1.59 um     1.32 um  
   1.60 MeV   1.875E-01  1.289E-04   44.80 um     1.72 um     1.44 um  
   1.70 MeV   1.800E-01  1.222E-04   49.30 um     1.85 um     1.57 um  
   1.80 MeV   1.731E-01  1.162E-04   53.98 um     1.99 um     1.71 um  
   2.00 MeV   1.606E-01  1.058E-04   63.90 um     2.47 um     1.99 um  
   2.25 MeV   1.473E-01  9.536E-05   77.34 um     3.16 um     2.36 um  
   2.50 MeV   1.361E-01  8.686E-05   91.94 um     3.82 um     2.77 um  
   2.75 MeV   1.266E-01  7.981E-05  107.70 um     4.47 um     3.20 um  
   3.00 MeV   1.184E-01  7.387E-05  124.59 um     5.12 um     3.66 um  
   3.25 MeV   1.113E-01  6.879E-05  142.60 um     5.77 um     4.15 um  
   3.50 MeV   1.051E-01  6.440E-05  161.71 um     6.43 um     4.66 um  
   3.75 MeV   9.959E-02  6.056E-05  181.92 um     7.10 um     5.20 um  
   4.00 MeV   9.469E-02  5.717E-05  203.21 um     7.77 um     5.77 um  
   4.50 MeV   8.633E-02  5.146E-05  248.95 um    10.23 um     6.99 um  
   5.00 MeV   7.944E-02  4.683E-05  298.89 um    12.56 um     8.31 um  
   5.50 MeV   7.366E-02  4.300E-05  352.96 um    14.84 um     9.73 um  
   6.00 MeV   6.873E-02  3.977E-05  411.08 um    17.10 um    11.25 um  
   6.50 MeV   6.448E-02  3.701E-05  473.20 um    19.38 um    12.87 um  
   7.00 MeV   6.076E-02  3.463E-05  539.27 um    21.68 um    14.58 um  
   8.00 MeV   5.458E-02  3.071E-05  682.92 um    30.01 um    18.29 um  
   9.00 MeV   4.963E-02  2.761E-05  841.87 um    37.81 um    22.38 um  
  10.00 MeV   4.558E-02  2.511E-05    1.02 mm    45.45 um    26.82 um  
  11.00 MeV   4.218E-02  2.304E-05    1.20 mm    53.08 um    31.62 um  
  12.00 MeV   3.930E-02  2.130E-05    1.41 mm    60.77 um    36.77 um  
  13.00 MeV   3.682E-02  1.981E-05    1.63 mm    68.55 um    42.26 um  
  14.00 MeV   3.466E-02  1.852E-05    1.86 mm    76.46 um    48.08 um  
  15.00 MeV   3.277E-02  1.740E-05    2.10 mm    84.49 um    54.24 um  
  16.00 MeV   3.108E-02  1.641E-05    2.36 mm    92.66 um    60.72 um  
  17.00 MeV   2.958E-02  1.553E-05    2.63 mm   100.97 um    67.52 um  
  18.00 MeV   2.823E-02  1.475E-05    2.92 mm   109.42 um    74.64 um  
  20.00 MeV   2.590E-02  1.340E-05    3.53 mm   140.70 um    89.82 um  
  22.50 MeV   2.352E-02  1.204E-05    4.37 mm   185.44 um   110.52 um  
  25.00 MeV   2.158E-02  1.094E-05    5.29 mm   227.95 um   133.08 um  
  27.50 MeV   1.997E-02  1.003E-05    6.28 mm   269.68 um   157.46 um  
  30.00 MeV   1.860E-02  9.266E-06    7.36 mm   311.30 um   183.61 um  
  32.50 MeV   1.743E-02  8.613E-06    8.51 mm   353.13 um   211.49 um  
  35.00 MeV   1.641E-02  8.049E-06    9.73 mm   395.36 um   241.07 um  
  37.50 MeV   1.552E-02  7.558E-06   11.03 mm   438.09 um   272.30 um  
  40.00 MeV   1.473E-02  7.125E-06   12.39 mm   481.38 um   305.17 um  
  45.00 MeV   1.340E-02  6.397E-06   15.34 mm   641.10 um   375.68 um  
  50.00 MeV   1.232E-02  5.809E-06   18.56 mm   791.25 um   452.36 um  
  55.00 MeV   1.142E-02  5.323E-06   22.05 mm   937.68 um   534.99 um  
  60.00 MeV   1.066E-02  4.915E-06   25.80 mm     1.08 mm   623.38 um  
  65.00 MeV   1.001E-02  4.567E-06   29.80 mm     1.23 mm   717.33 um  
  70.00 MeV   9.448E-03  4.266E-06   34.06 mm     1.37 mm   816.68 um  
  80.00 MeV   8.522E-03  3.774E-06   43.28 mm     1.91 mm     1.03 mm  
  90.00 MeV   7.790E-03  3.386E-06   53.44 mm     2.40 mm     1.26 mm  
 100.00 MeV   7.196E-03  3.074E-06   64.49 mm     2.88 mm     1.52 mm  
 110.00 MeV   6.705E-03  2.815E-06   76.41 mm     3.35 mm     1.79 mm  
 120.00 MeV   6.291E-03  2.598E-06   89.15 mm     3.82 mm     2.08 mm  
 130.00 MeV   5.939E-03  2.413E-06  102.69 mm     4.29 mm     2.38 mm  
 140.00 MeV   5.634E-03  2.254E-06  117.00 mm     4.76 mm     2.70 mm  
 150.00 MeV   5.368E-03  2.115E-06  132.05 mm     5.24 mm     3.03 mm  
 160.00 MeV   5.134E-03  1.993E-06  147.81 mm     5.71 mm     3.37 mm  
 170.00 MeV   4.926E-03  1.884E-06  164.27 mm     6.19 mm     3.73 mm  
 180.00 MeV   4.741E-03  1.787E-06  181.39 mm     6.67 mm     4.10 mm  
 200.00 MeV   4.424E-03  1.621E-06  217.54 mm     8.45 mm     4.88 mm  
 225.00 MeV   4.104E-03  1.454E-06  266.11 mm    10.94 mm     5.91 mm  
 250.00 MeV   3.847E-03  1.319E-06  318.19 mm    13.24 mm     7.00 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2070E+01                 eV / Angstrom 
  1.2070E+02                keV / micron   
  1.2070E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1045E+01                 eV / (1E15 atoms/cm2)
  5.0608E+00                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
