 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\M600_O-ions.txt

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.2070E+00 g/cm3 = 1.0927E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    052.20    007.91   
      C      6    036.33    065.60   
      N      7    003.67    007.73   
      O      8    007.80    018.76   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 900.00 keV   5.344E+00  1.219E-01    2.01 um     1499 A      1863 A   
   1.00 MeV   5.700E+00  1.123E-01    2.15 um     1540 A      1929 A   
   1.10 MeV   6.045E+00  1.043E-01    2.29 um     1574 A      1986 A   
   1.20 MeV   6.379E+00  9.744E-02    2.42 um     1604 A      2037 A   
   1.30 MeV   6.702E+00  9.149E-02    2.55 um     1630 A      2083 A   
   1.40 MeV   7.014E+00  8.629E-02    2.66 um     1653 A      2124 A   
   1.50 MeV   7.315E+00  8.170E-02    2.78 um     1674 A      2161 A   
   1.60 MeV   7.604E+00  7.761E-02    2.89 um     1693 A      2195 A   
   1.70 MeV   7.881E+00  7.394E-02    2.99 um     1710 A      2226 A   
   1.80 MeV   8.147E+00  7.063E-02    3.09 um     1726 A      2255 A   
   2.00 MeV   8.644E+00  6.490E-02    3.29 um     1764 A      2307 A   
   2.25 MeV   9.202E+00  5.901E-02    3.52 um     1811 A      2362 A   
   2.50 MeV   9.690E+00  5.417E-02    3.74 um     1851 A      2410 A   
   2.75 MeV   1.012E+01  5.012E-02    3.94 um     1886 A      2452 A   
   3.00 MeV   1.048E+01  4.667E-02    4.14 um     1918 A      2489 A   
   3.25 MeV   1.080E+01  4.370E-02    4.34 um     1947 A      2523 A   
   3.50 MeV   1.107E+01  4.111E-02    4.52 um     1973 A      2553 A   
   3.75 MeV   1.130E+01  3.883E-02    4.71 um     1998 A      2582 A   
   4.00 MeV   1.149E+01  3.681E-02    4.89 um     2021 A      2608 A   
   4.50 MeV   1.180E+01  3.338E-02    5.24 um     2095 A      2656 A   
   5.00 MeV   1.201E+01  3.057E-02    5.59 um     2162 A      2699 A   
   5.50 MeV   1.216E+01  2.823E-02    5.93 um     2225 A      2738 A   
   6.00 MeV   1.226E+01  2.624E-02    6.27 um     2285 A      2775 A   
   6.50 MeV   1.232E+01  2.453E-02    6.61 um     2342 A      2809 A   
   7.00 MeV   1.235E+01  2.305E-02    6.94 um     2397 A      2841 A   
   8.00 MeV   1.233E+01  2.059E-02    7.61 um     2591 A      2901 A   
   9.00 MeV   1.223E+01  1.863E-02    8.28 um     2773 A      2957 A   
  10.00 MeV   1.209E+01  1.703E-02    8.96 um     2946 A      3010 A   
  11.00 MeV   1.191E+01  1.570E-02    9.65 um     3113 A      3061 A   
  12.00 MeV   1.171E+01  1.457E-02   10.35 um     3276 A      3111 A   
  13.00 MeV   1.149E+01  1.361E-02   11.07 um     3437 A      3159 A   
  14.00 MeV   1.127E+01  1.277E-02   11.79 um     3597 A      3207 A   
  15.00 MeV   1.105E+01  1.203E-02   12.53 um     3755 A      3255 A   
  16.00 MeV   1.083E+01  1.138E-02   13.29 um     3913 A      3303 A   
  17.00 MeV   1.061E+01  1.080E-02   14.06 um     4071 A      3351 A   
  18.00 MeV   1.040E+01  1.028E-02   14.85 um     4229 A      3399 A   
  20.00 MeV   9.996E+00  9.383E-03   16.47 um     4827 A      3496 A   
  22.50 MeV   9.523E+00  8.472E-03   18.59 um     5701 A      3621 A   
  25.00 MeV   9.089E+00  7.730E-03   20.82 um     6528 A      3750 A   
  27.50 MeV   8.692E+00  7.114E-03   23.15 um     7328 A      3885 A   
  30.00 MeV   8.328E+00  6.593E-03   25.58 um     8111 A      4025 A   
  32.50 MeV   8.020E+00  6.148E-03   28.11 um     8883 A      4170 A   
  35.00 MeV   7.807E+00  5.762E-03   30.73 um     9638 A      4321 A   
  37.50 MeV   7.567E+00  5.423E-03   33.42 um     1.04 um     4477 A   
  40.00 MeV   7.306E+00  5.125E-03   36.21 um     1.11 um     4638 A   
  45.00 MeV   6.831E+00  4.621E-03   42.07 um     1.39 um     4978 A   
  50.00 MeV   6.421E+00  4.211E-03   48.32 um     1.65 um     5344 A   
  55.00 MeV   6.064E+00  3.872E-03   54.96 um     1.90 um     5733 A   
  60.00 MeV   5.749E+00  3.585E-03   61.97 um     2.15 um     6147 A   
  65.00 MeV   5.468E+00  3.340E-03   69.36 um     2.39 um     6585 A   
  70.00 MeV   5.215E+00  3.128E-03   77.11 um     2.63 um     7046 A   
  80.00 MeV   4.779E+00  2.779E-03   93.70 um     3.53 um     8038 A   
  90.00 MeV   4.415E+00  2.502E-03  111.74 um     4.36 um     9119 A   
 100.00 MeV   4.105E+00  2.278E-03  131.19 um     5.16 um     1.03 um  
 110.00 MeV   3.838E+00  2.093E-03  152.06 um     5.95 um     1.15 um  
 120.00 MeV   3.605E+00  1.937E-03  174.33 um     6.74 um     1.29 um  
 130.00 MeV   3.400E+00  1.803E-03  197.99 um     7.53 um     1.43 um  
 140.00 MeV   3.218E+00  1.687E-03  223.03 um     8.33 um     1.58 um  
 150.00 MeV   3.056E+00  1.586E-03  249.45 um     9.14 um     1.74 um  
 160.00 MeV   2.909E+00  1.497E-03  277.23 um     9.95 um     1.90 um  
 170.00 MeV   2.777E+00  1.418E-03  306.37 um    10.78 um     2.07 um  
 180.00 MeV   2.658E+00  1.347E-03  336.85 um    11.62 um     2.25 um  
 200.00 MeV   2.448E+00  1.225E-03  401.81 um    14.83 um     2.64 um  
 225.00 MeV   2.232E+00  1.102E-03  490.42 um    19.44 um     3.16 um  
 250.00 MeV   2.053E+00  1.003E-03  587.18 um    23.79 um     3.72 um  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.2070E+01                 eV / Angstrom 
  1.2070E+02                keV / micron   
  1.2070E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.1045E+01                 eV / (1E15 atoms/cm2)
  1.6238E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
