 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> October 20, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\OGS_He-ions.txt

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.2591E+00 g/cm3 = 1.1920E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    053.16    008.42   
      C      6    045.60    086.10   
     Si     14    001.24    005.47   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
 800.00 keV   2.193E+00  3.245E-03    3.52 um     1551 A      1961 A   
 900.00 keV   2.143E+00  2.937E-03    3.89 um     1650 A      2021 A   
   1.00 MeV   2.089E+00  2.685E-03    4.26 um     1749 A      2079 A   
   1.10 MeV   2.033E+00  2.475E-03    4.65 um     1846 A      2137 A   
   1.20 MeV   1.978E+00  2.298E-03    5.04 um     1943 A      2195 A   
   1.30 MeV   1.924E+00  2.145E-03    5.45 um     2040 A      2254 A   
   1.40 MeV   1.873E+00  2.013E-03    5.87 um     2138 A      2312 A   
   1.50 MeV   1.823E+00  1.897E-03    6.30 um     2236 A      2372 A   
   1.60 MeV   1.776E+00  1.795E-03    6.74 um     2335 A      2432 A   
   1.70 MeV   1.731E+00  1.703E-03    7.19 um     2435 A      2494 A   
   1.80 MeV   1.688E+00  1.621E-03    7.65 um     2536 A      2556 A   
   2.00 MeV   1.607E+00  1.480E-03    8.62 um     2905 A      2684 A   
   2.25 MeV   1.515E+00  1.336E-03    9.89 um     3446 A      2853 A   
   2.50 MeV   1.433E+00  1.219E-03   11.23 um     3967 A      3030 A   
   2.75 MeV   1.358E+00  1.122E-03   12.65 um     4477 A      3216 A   
   3.00 MeV   1.290E+00  1.040E-03   14.15 um     4984 A      3413 A   
   3.25 MeV   1.228E+00  9.699E-04   15.73 um     5490 A      3620 A   
   3.50 MeV   1.172E+00  9.090E-04   17.38 um     5999 A      3837 A   
   3.75 MeV   1.120E+00  8.556E-04   19.11 um     6512 A      4065 A   
   4.00 MeV   1.073E+00  8.085E-04   20.92 um     7030 A      4304 A   
   4.50 MeV   9.900E-01  7.290E-04   24.77 um     8952 A      4813 A   
   5.00 MeV   9.192E-01  6.645E-04   28.93 um     1.08 um     5366 A   
   5.50 MeV   8.582E-01  6.109E-04   33.40 um     1.26 um     5960 A   
   6.00 MeV   8.052E-01  5.657E-04   38.17 um     1.43 um     6596 A   
   6.50 MeV   7.587E-01  5.271E-04   43.25 um     1.61 um     7274 A   
   7.00 MeV   7.175E-01  4.936E-04   48.63 um     1.79 um     7992 A   
   8.00 MeV   6.479E-01  4.385E-04   60.27 um     2.44 um     9548 A   
   9.00 MeV   6.010E-01  3.949E-04   72.99 um     3.05 um     1.12 um  
  10.00 MeV   5.549E-01  3.596E-04   86.74 um     3.63 um     1.31 um  
  11.00 MeV   5.151E-01  3.303E-04  101.58 um     4.21 um     1.50 um  
  12.00 MeV   4.811E-01  3.056E-04  117.53 um     4.79 um     1.72 um  
  13.00 MeV   4.518E-01  2.845E-04  134.55 um     5.38 um     1.94 um  
