!Required final counter 1 value =       2 ; Required final counter 2 value =       3
!       #iomp    #batch  #history       #no     #name        #reg  EdepA(MeV)      xA(cm)      yA(cm)      zA(cm)      tA(ns)        #reg  EdepB(MeV)      xB(cm)      yB(cm)      zB(cm)      tB(ns)        #reg  EdepC(MeV)      xC(cm)      yC(cm)      zC(cm)      tC(ns)
!ncol   Z   N jcl kcl nclsts
!In/Out kf-code     E(MeV)      weight 

ge 0 0 0 25 0 ; 1 0.120846 100.38 -5.29768 -2.85107 3.35432 , 2 1.45824 113.161 -3.77637 -2.43784 3.78389 , 3 0.194883 112.672 3.19896 2.98732 4.07911 ,

ge 0 0 0 26 0 ; 1 1.57488 100.089 2.4419 3.22663 3.34133 , 2 0.135947 100.788 -1.34668 -3.18489 3.59084 , 3 0.0124132 106.138 -6.07443 -3.43221 3.82913 ,

ge 0 0 0 27 0 ; 1 1.5651 112.215 0.432016 -2.79975 3.74428 , 2 0.23924 112.793 -0.927183 2.47577 3.92702 , 3 0.0773496 106.76 -6.13528 -2.45496 4.23962 ,

ge 0 0 0 28 0 ; 1 0.253859 100.438 1.42658 -3.06153 3.35213 , 2 1.28618 112.133 -1.55374 -2.55527 3.75507 , 3 0.236529 112.101 -5.91174 2.93963 3.98901 ,

ge 0 0 0 29 0 ; 1 1.60698 112.487 -5.65544 -3.44969 3.75877 , 2 0.151284 112.317 3.03784 3.01886 4.12026 , 3 0.0370023 100.08 3.7923 3.11832 4.10872 ,

ge 0 0 0 30 0 ; 1 1.18158 101.133 5.68949 2.8675 3.38013 , 2 0.603422 106.624 4.74209 -3.3134 3.65771 , 3 0.0871068 100.969 5.58024 -2.63326 3.84974 ,

ge 0 0 0 31 0 ; 1 1.62892 106.92 0.528279 -3.09788 3.56799 , 2 0.195961 106.133 5.4976 2.64563 3.82268 , 3 0.0382493 112.598 -2.66403 3.09695 4.17033 ,

ge 0 0 0 32 0 ; 1 1.73332 112.284 0.600224 2.98191 3.74675 , 2 0.124993 106.44 3.43023 -3.35604 4.0494 , 3 0.125572 112.24 0.0709918 -3.22166 4.00895 ,

ge 0 0 0 33 0 ; 1 1.76343 106.36 -3.73047 2.6161 3.55104 , 2 0.11238 100.31 -6.09163 3.57377 3.77001 , 3 0.0341811 112.208 -0.499269 -2.64334 4.25511 ,

ge 0 0 0 34 0 ; 1 1.70907 113.115 5.14805 -2.57026 3.77797 , 2 0.133283 106.968 -5.30512 3.28734 4.22718 , 3 0.0336168 112.66 -5.3021 2.90416 4.41745 ,

ge 0 0 0 35 0 ; 1 0.100614 100.077 0.485494 2.95132 3.33969 , 2 0.102626 106.723 -0.575151 3.31207 3.56453 , 3 1.54074 112.219 -1.44 2.63013 3.75147 ,

ge 0 0 0 36 0 ; 1 1.56687 100.378 1.85812 2.57474 3.34991 , 2 0.219039 101.09 -2.15998 -2.66792 3.57152 , 3 0.0720939 106.231 1.76447 -3.2727 3.78821 ,

ge 0 0 0 37 0 ; 1 1.58048 106.659 0.25063 3.13683 3.55931 , 2 0.167483 107.065 -0.96341 -2.80993 3.76221 , 3 0.102258 112.554 -4.65817 -2.97168 3.98301 ,

ge 0 0 0 38 0 ; 1 1.72347 106.062 0.907387 -2.91433 3.53932 , 2 0.129597 100.645 -6.5915 -2.84757 3.8479 , 3 0.0232385 112.703 -4.95335 2.41169 4.29007 ,

ge 0 0 0 39 0 ; 1 0.107679 100.755 2.22911 -2.95972 3.3631 , 2 1.15014 107.172 1.33353 -2.77776 3.57929 , 3 0.191532 112.467 6.85087 -3.40857 3.83524 ,

ge 0 0 0 40 0 ; 1 1.14112 100.444 0.715458 -2.89286 3.35192 , 2 0.180406 106.753 4.88192 2.61178 3.66388 , 3 0.330487 112.414 6.66794 3.3219 3.86329 ,

ge 0 0 0 41 0 ; 1 1.10666 100.526 0.738753 3.06036 3.35483 , 2 0.672215 107.191 3.30597 -3.19684 3.67157 , 3 0.0540297 100.804 -0.886182 -3.15326 3.9264 ,

ge 0 0 0 42 0 ; 1 0.440516 101.108 4.58119 2.98767 3.37753 , 2 0.745673 106.457 2.76525 2.6671 3.56626 , 3 0.616942 112.386 5.68129 3.20557 3.78738 ,

ge 0 0 0 43 0 ; 1 1.61309 106.777 -5.3741 -3.50499 3.56811 , 2 0.199571 106.715 -0.254475 2.5525 3.83267 , 3 0.0331288 100.675 1.33594 -3.48024 4.12231 ,

ge 0 0 0 44 0 ; 1 0.397827 100.438 0.780077 -2.628 3.35149 , 2 0.421416 106.124 -1.15124 -3.57609 3.55429 , 3 0.610431 112.222 -0.474837 -3.28464 3.75919 ,

ge 0 0 0 45 0 ; 1 1.59056 112.434 -3.11306 -2.78631 3.75299 , 2 0.143516 112.845 3.6568 3.47093 4.0608 , 3 0.121341 107.027 6.90988 3.54314 4.28316 ,

ge 0 0 0 46 0 ; 1 1.31992 106.763 -2.06485 -3.02423 3.56331 , 2 0.461951 112.725 5.45335 2.7653 3.93713 , 3 0.0547855 100.589 -2.30983 -2.73733 4.22612 ,

ge 0 0 0 47 0 ; 1 1.60113 100.442 3.17548 2.7229 3.3533 , 2 0.196069 100.555 -1.26483 -3.4381 3.60665 , 3 0.0225863 106.859 -5.99521 3.09812 3.94819 ,

ge 0 0 0 48 0 ; 1 1.75898 112.289 -3.00279 3.43141 3.74864 , 2 0.107531 100.794 -0.502538 -3.39532 4.20232 , 3 0 0 0 0 0 ,

ge 0 0 0 49 0 ; 1 1.2554 100.331 2.54205 3.07362 3.34933 , 2 0.47071 106.035 -1.71139 -3.20054 3.66577 , 3 0.0115016 106.991 -6.70513 3.29171 3.94083 ,

ge 0 0 0 50 0 ; 1 0.373923 106.196 -3.6533 -2.98674 3.546 , 2 1.02701 112.94 -1.43254 -2.66349 3.78309 , 3 0.0962657 113.088 -1.56889 -2.71394 3.79002 ,

ge 0 0 0 51 0 ; 1 1.13196 106.001 1.9304 -2.40625 3.5373 , 2 0.655095 112.108 -2.34032 2.4118 3.8333 , 3 0.0257296 106.558 0.906871 2.70992 4.04802 ,

ge 0 0 0 52 0 ; 1 1.59338 106.375 -0.0749604 2.79144 3.54951 , 2 0.162934 106.512 1.29943 -2.6425 3.73653 , 3 0.0646781 101.091 2.90188 -3.31166 3.92639 ,

ge 0 0 0 53 0 ; 1 0.864203 106.295 -0.694238 -3.34515 3.54746 , 2 0.879123 112.631 3.80131 -2.67042 3.80757 , 3 0.119658 100.402 6.9216 3.51064 4.27633 ,

ge 0 0 0 54 0 ; 1 0.3681 100.326 -1.85103 2.56768 3.34817 , 2 1.17191 112.049 2.07086 2.91788 3.7607 , 3 0 0 0 0 0 ,

ge 0 0 0 55 0 ; 1 0.457919 100.654 -4.94081 -3.30317 3.36329 , 2 0.648975 106.818 -2.89588 -2.6511 3.58103 , 3 0.608563 112.708 5.03714 2.89125 3.95891 ,

ge 0 0 0 56 0 ; 1 1.60289 112.417 -0.969277 -3.20443 3.75148 , 2 0.206996 112.398 -1.12756 3.06138 3.96055 , 3 0.0349765 100.175 4.08759 -2.64611 4.44297 ,

ge 0 0 0 57 0 ; 1 0.809972 100.086 0.789463 -2.84477 3.33997 , 2 0.681059 106.886 5.5054 -3.33987 3.6165 , 3 0.309449 112.686 2.20428 -2.80929 3.83981 ,

ge 0 0 0 58 0 ; 1 1.63622 112.881 0.362601 2.87913 3.76653 , 2 0.146367 112.105 0.862685 -3.28818 3.97454 , 3 0.0965294 106.777 3.05347 -2.75849 4.16751 ,

ge 0 0 0 59 0 ; 1 1.61115 107.01 -3.69248 2.88286 3.57288 , 2 0.13894 106.881 2.63162 -2.85279 3.8577 , 3 0.0843907 101.067 4.38792 -3.22671 4.06069 ,

ge 0 0 0 60 0 ; 1 1.10932 100.204 -0.658157 -2.41938 3.3435 , 2 0.467843 106.301 1.58599 3.38582 3.63412 , 3 0.178093 112.22 -3.71885 3.5781 3.89933 ,

ge 0 0 0 61 0 ; 1 1.60602 113.085 -1.14402 -3.26066 3.77387 , 2 0.172208 113.001 -1.65823 2.86177 3.97883 , 3 0.0101102 100.58 6.73511 3.28895 4.47908 ,

ge 0 0 0 62 0 ; 1 1.17519 100.308 -3.5665 3.56137 3.35012 , 2 0.577471 106.623 -4.13771 -3.5814 3.66872 , 3 0.0665688 100.016 5.96156 -3.01732 4.0717 ,

ge 0 0 0 63 0 ; 1 0.549049 107.088 -0.574688 3.17251 3.5737 , 2 1.10388 112.111 -2.84855 2.53362 3.75884 , 3 0.119253 112.419 1.27123 -2.72458 3.98189 ,

ge 0 0 0 64 0 ; 1 0.223648 100.424 0.722845 -3.2088 3.35157 , 2 1.55265 112.055 -2.16827 -3.08437 3.75138 , 3 0.0189415 106.818 -0.486868 -2.88105 3.93498 ,

ge 0 0 0 65 0 ; 1 1.07266 100.402 -3.66902 -2.80506 3.35258 , 2 0.62925 106.351 1.90057 -2.85396 3.62443 , 3 0.106402 100.631 5.81288 3.55711 3.93935 ,

ge 0 0 0 66 0 ; 1 1.70183 112.107 3.6761 3.10695 3.74293 , 2 0.135506 107.091 -6.89741 2.85885 4.13339 , 3 0.0409612 100.872 2.12862 -3.21648 4.55141 ,

ge 0 0 0 67 0 ; 1 1.59019 112.436 3.28551 -3.27166 3.75364 , 2 0.237767 112.784 -0.421869 2.86214 3.99299 , 3 0.0199055 106.085 2.76041 -2.65628 4.30136 ,

ge 0 0 0 68 0 ; 1 0.814775 100.636 0.538968 -3.23081 3.35863 , 2 0.781748 106.861 -3.63162 -2.81748 3.60896 , 3 0.234459 112.514 2.37193 3.28725 3.9512 ,

ge 0 0 0 69 0 ; 1 1.29339 100.595 6.02591 -3.57334 3.36362 , 2 0.41598 106.937 0.0262117 2.76707 3.72353 , 3 0.146439 101.148 -5.30863 3.03962 3.9863 ,

ge 0 0 0 70 0 ; 1 0.694529 106.163 -5.91976 2.68941 3.54784 , 2 0.824366 112.861 -2.52019 2.51645 3.79847 , 3 0.264973 112.877 2.98612 -3.30923 4.06586 ,

ge 0 0 0 71 0 ; 1 1.71591 106.053 -3.78835 3.25453 3.54146 , 2 0.146191 100.11 6.16939 2.85558 3.92849 , 3 0.0175934 112.626 -6.26975 -3.07107 4.54939 ,

ge 0 0 0 72 0 ; 1 1.17385 100.943 -2.82978 -2.43819 3.36941 , 2 0.205355 106.398 0.255384 2.88136 3.64359 , 3 0.255762 112.504 5.87869 3.59957 3.92153 ,

ge 0 0 0 73 0 ; 1 1.74313 112.208 1.83439 -2.48263 3.74426 , 2 0.113527 106.327 1.39072 3.20294 4.01751 , 3 0 0 0 0 0 ,

ge 0 0 0 74 0 ; 1 1.06415 106.444 2.62488 -3.02414 3.5531 , 2 0.731542 112.54 2.78637 2.69881 3.83206 , 3 0.0904413 100.843 4.34136 -3.468 4.27616 ,

ge 0 0 0 75 0 ; 1 0.801379 101.179 4.86275 -3.07592 3.3804 , 2 0.984813 112.233 1.79525 2.85759 3.81124 , 3 0.0268396 106.058 2.78373 -2.75693 4.09156 ,

ge 0 0 0 76 0 ; 1 1.61494 100.353 -5.08944 3.55434 3.3538 , 2 0.197403 100.162 -4.16452 -2.83828 3.56935 , 3 0.0297476 106.089 3.60795 2.58414 3.94219 ,

ge 0 0 0 77 0 ; 1 1.61166 112.916 -4.83209 -2.73758 3.77102 , 2 0.225128 112.807 -0.183922 3.01928 4.01785 , 3 0 0 0 0 0 ,

ge 0 0 0 78 0 ; 1 0.831909 106.281 0.465189 -3.00709 3.5466 , 2 0.939627 113.017 -4.22715 -3.12371 3.82047 , 3 0.0658093 106.823 -0.393369 2.49539 4.12735 ,

ge 0 0 0 79 0 ; 1 1.60834 101.088 1.84246 2.86728 3.37385 , 2 0.204558 100.992 -0.543374 -2.64738 3.5743 , 3 0.0495744 112.794 0.67218 2.66137 4.00788 ,

ge 0 0 0 80 0 ; 1 1.61281 106.917 1.28092 -2.41102 3.56754 , 2 0.18397 106.612 4.34111 2.71736 3.76701 , 3 0.018666 100.577 2.61847 -3.43007 4.22989 ,

ge 0 0 0 81 0 ; 1 1.16773 100.732 -0.83509 -3.44028 3.36212 , 2 0.615468 106.552 -3.11893 2.70873 3.65463 , 3 0.0518056 106.451 -2.27214 -3.02986 3.84815 ,

ge 0 0 0 82 0 ; 1 1.73418 112.471 3.14989 -3.19635 3.7546 , 2 0.126567 106.685 4.01922 3.53543 4.05209 , 3 0.0356719 112.434 2.14267 2.67069 4.25587 ,

ge 0 0 0 83 0 ; 1 1.22945 100.461 0.184761 -3.49315 3.35306 , 2 0.562242 107.107 -5.65425 2.75134 3.71426 , 3 0.0394658 100.107 -4.27065 3.28889 3.99252 ,

ge 0 0 0 84 0 ; 1 1.23165 107.038 -1.511 -2.66488 3.57188 , 2 0.545701 112.261 -6.23158 2.50846 3.86329 , 3 0.0452915 101.042 -5.54818 2.49887 4.23819 ,

ge 0 0 0 85 0 ; 1 0.186438 106.634 -3.86899 3.1629 3.56084 , 2 1.47625 112.933 -5.54074 3.00079 3.77828 , 3 0.0580496 112.507 3.76532 -3.42454 4.15577 ,

ge 0 0 0 86 0 ; 1 0.247344 100.084 3.47732 2.43131 3.34143 , 2 0.995452 106.225 2.01442 2.72649 3.55223 , 3 0.531146 112.06 6.6714 3.46517 3.80247 ,

